chart_week,current_week,title,performer
1989-01-28,3,Armageddon It,Def Leppard
1989-01-28,4,Don't Rush Me,Taylor Dayne
1989-01-28,5,When The Children Cry,White Lion
1989-02-04,1,When I'm With You,Sheriff
1989-02-04,2,Straight Up,Paula Abdul
1989-02-04,3,When The Children Cry,White Lion
1989-02-04,4,Born To Be My Baby,Bon Jovi
1989-02-04,5,Wild Thing,Tone-Loc
1989-02-11,1,Straight Up,Paula Abdul
1989-02-11,2,When I'm With You,Sheriff
1989-02-11,3,Wild Thing,Tone-Loc
1989-02-11,4,Born To Be My Baby,Bon Jovi
1989-02-11,5,When The Children Cry,White Lion
1989-02-18,1,Straight Up,Paula Abdul
1989-02-18,2,Wild Thing,Tone-Loc
1989-02-18,3,Born To Be My Baby,Bon Jovi
1989-02-18,4,Lost In Your Eyes,Debbie Gibson
1989-02-18,5,The Lover In Me,Sheena Easton
1989-02-25,1,Straight Up,Paula Abdul
1989-02-25,2,Lost In Your Eyes,Debbie Gibson
1989-02-25,3,Wild Thing,Tone-Loc
1989-02-25,4,The Lover In Me,Sheena Easton
1989-02-25,5,Born To Be My Baby,Bon Jovi
1989-03-04,1,Lost In Your Eyes,Debbie Gibson
1989-03-04,2,The Lover In Me,Sheena Easton
1989-03-04,3,Straight Up,Paula Abdul
1989-03-04,4,The Living Years,Mike + The Mechanics
1989-03-04,5,You Got It (The Right Stuff),New Kids On The Block
1989-03-11,1,Lost In Your Eyes,Debbie Gibson
1989-03-11,2,The Living Years,Mike + The Mechanics
1989-03-11,3,You Got It (The Right Stuff),New Kids On The Block
1989-03-11,4,Roni,Bobby Brown
1989-03-11,5,Paradise City,Guns N' Roses
1989-03-18,1,Lost In Your Eyes,Debbie Gibson
1989-03-18,2,The Living Years,Mike + The Mechanics
1989-03-18,3,Roni,Bobby Brown
1989-03-18,4,Girl You Know It's True,Milli Vanilli
1989-03-18,5,Paradise City,Guns N' Roses
1989-03-25,1,The Living Years,Mike + The Mechanics
1989-03-25,2,Eternal Flame,The Bangles
1989-03-25,3,Girl You Know It's True,Milli Vanilli
1989-03-25,4,The Look,Roxette
1989-03-25,5,My Heart Can't Tell You No,Rod Stewart
1989-04-01,1,Eternal Flame,The Bangles
1989-04-01,2,Girl You Know It's True,Milli Vanilli
1989-04-01,3,The Look,Roxette
1989-04-01,4,My Heart Can't Tell You No,Rod Stewart
1989-04-01,5,The Living Years,Mike + The Mechanics
1989-04-08,1,The Look,Roxette
1989-04-08,2,Eternal Flame,The Bangles
1989-04-08,3,Girl You Know It's True,Milli Vanilli
1989-04-08,4,She Drives Me Crazy,Fine Young Cannibals
1989-04-08,5,Like A Prayer,Madonna
1989-04-15,1,She Drives Me Crazy,Fine Young Cannibals
1989-04-15,2,The Look,Roxette
1989-04-15,3,Like A Prayer,Madonna
1989-04-15,4,Eternal Flame,The Bangles
1989-04-15,5,Girl You Know It's True,Milli Vanilli
1989-04-22,1,Like A Prayer,Madonna
1989-04-22,2,She Drives Me Crazy,Fine Young Cannibals
1989-04-22,3,The Look,Roxette
1989-04-22,4,Funky Cold Medina,Tone-Loc
1989-04-22,5,I'll Be There For You,Bon Jovi
1989-04-29,1,Like A Prayer,Madonna
1989-04-29,2,I'll Be There For You,Bon Jovi
1989-04-29,3,Funky Cold Medina,Tone-Loc
1989-04-29,4,She Drives Me Crazy,Fine Young Cannibals
1989-04-29,5,Heaven Help Me,Deon Estus With George Michael
1989-05-06,1,Like A Prayer,Madonna
1989-05-06,2,I'll Be There For You,Bon Jovi
1989-05-06,3,Real Love,Jody Watley
1989-05-06,4,Funky Cold Medina,Tone-Loc
1989-05-06,5,Forever Your Girl,Paula Abdul
1989-05-13,1,I'll Be There For You,Bon Jovi
1989-05-13,2,Like A Prayer,Madonna
1989-05-13,3,Real Love,Jody Watley
1989-05-13,4,Forever Your Girl,Paula Abdul
1989-05-13,5,Soldier Of Love,Donny Osmond
1989-05-20,1,Forever Your Girl,Paula Abdul
1989-05-20,2,Real Love,Jody Watley
1989-05-20,3,I'll Be There For You,Bon Jovi
1989-05-20,4,Soldier Of Love,Donny Osmond
1989-05-20,5,"Rock On (From ""Dream A Little Dream"")",Michael Damian
1989-05-27,1,Forever Your Girl,Paula Abdul
1989-05-27,2,Real Love,Jody Watley
1989-05-27,3,"Rock On (From ""Dream A Little Dream"")",Michael Damian
1989-05-27,4,Soldier Of Love,Donny Osmond
1989-05-27,5,Patience,Guns N' Roses
1989-06-03,1,"Rock On (From ""Dream A Little Dream"")",Michael Damian
1989-06-03,2,Soldier Of Love,Donny Osmond
1989-06-03,3,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
1989-06-03,4,Patience,Guns N' Roses
1989-06-03,5,I'll Be Loving You (Forever),New Kids On The Block
1989-06-10,1,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
1989-06-10,2,I'll Be Loving You (Forever),New Kids On The Block
1989-06-10,3,Every Little Step,Bobby Brown
1989-06-10,4,"Rock On (From ""Dream A Little Dream"")",Michael Damian
1989-06-10,5,Buffalo Stance,Neneh Cherry
1989-06-17,1,I'll Be Loving You (Forever),New Kids On The Block
1989-06-17,2,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
1989-06-17,3,Every Little Step,Bobby Brown
1989-06-17,4,Satisfied,Richard Marx
1989-06-17,5,Buffalo Stance,Neneh Cherry
1989-06-24,1,Satisfied,Richard Marx
1989-06-24,2,I'll Be Loving You (Forever),New Kids On The Block
1989-06-24,3,Buffalo Stance,Neneh Cherry
1989-06-24,4,Baby Don't Forget My Number,Milli Vanilli
1989-06-24,5,Good Thing,Fine Young Cannibals
1989-07-01,1,Baby Don't Forget My Number,Milli Vanilli
1989-07-01,2,Good Thing,Fine Young Cannibals
1989-07-01,3,Satisfied,Richard Marx
1989-07-01,4,Buffalo Stance,Neneh Cherry
1989-07-01,5,If You Don't Know Me By Now,Simply Red
1989-07-08,1,Good Thing,Fine Young Cannibals
1989-07-08,2,Baby Don't Forget My Number,Milli Vanilli
1989-07-08,3,If You Don't Know Me By Now,Simply Red
1989-07-08,4,Express Yourself,Madonna
1989-07-08,5,Toy Soldiers,Martika
1989-07-15,1,If You Don't Know Me By Now,Simply Red
1989-07-15,2,Express Yourself,Madonna
1989-07-15,3,Good Thing,Fine Young Cannibals
1989-07-15,4,Toy Soldiers,Martika
1989-07-15,5,Baby Don't Forget My Number,Milli Vanilli
1989-07-22,1,Toy Soldiers,Martika
1989-07-22,2,Express Yourself,Madonna
1989-07-22,3,If You Don't Know Me By Now,Simply Red
1989-07-22,4,"Batdance (From ""Batman"")",Prince
1989-07-22,5,So Alive,Love And Rockets
1989-07-29,1,Toy Soldiers,Martika
1989-07-29,2,"Batdance (From ""Batman"")",Prince
1989-07-29,3,Express Yourself,Madonna
1989-07-29,4,So Alive,Love And Rockets
1989-07-29,5,"On Our Own (From ""Ghostbusters II"")",Bobby Brown
1989-08-05,1,"Batdance (From ""Batman"")",Prince
1989-08-05,2,"On Our Own (From ""Ghostbusters II"")",Bobby Brown
1989-08-05,3,So Alive,Love And Rockets
1989-08-05,4,Right Here Waiting,Richard Marx
1989-08-05,5,Toy Soldiers,Martika
1989-08-12,1,Right Here Waiting,Richard Marx
1989-08-12,2,"On Our Own (From ""Ghostbusters II"")",Bobby Brown
1989-08-12,3,"Batdance (From ""Batman"")",Prince
1989-08-12,4,So Alive,Love And Rockets
1989-08-12,5,Once Bitten Twice Shy,Great White
1989-08-19,1,Right Here Waiting,Richard Marx
1989-08-19,2,"On Our Own (From ""Ghostbusters II"")",Bobby Brown
1989-08-19,3,Cold Hearted,Paula Abdul
1989-08-19,4,Don't Wanna Lose You,Gloria Estefan
1989-08-19,5,Once Bitten Twice Shy,Great White
1989-08-26,1,Right Here Waiting,Richard Marx
1989-08-26,2,Cold Hearted,Paula Abdul
1989-08-26,3,Hangin' Tough,New Kids On The Block
1989-08-26,4,Don't Wanna Lose You,Gloria Estefan
1989-08-26,5,"On Our Own (From ""Ghostbusters II"")",Bobby Brown
1989-09-02,1,Cold Hearted,Paula Abdul
1989-09-02,2,Right Here Waiting,Richard Marx
1989-09-02,3,Hangin' Tough,New Kids On The Block
1989-09-02,4,Don't Wanna Lose You,Gloria Estefan
1989-09-02,5,Angel Eyes,The Jeff Healey Band
1989-09-09,1,Hangin' Tough,New Kids On The Block
1989-09-09,2,Cold Hearted,Paula Abdul
1989-09-09,3,Don't Wanna Lose You,Gloria Estefan
1989-09-09,4,Heaven,Warrant
1989-09-09,5,Right Here Waiting,Richard Marx
1989-09-16,1,Don't Wanna Lose You,Gloria Estefan
1989-09-16,2,Girl I'm Gonna Miss You,Milli Vanilli
1989-09-16,3,Heaven,Warrant
1989-09-16,4,Hangin' Tough,New Kids On The Block
1989-09-16,5,Shower Me With Your Love,Surface
1989-09-23,1,Girl I'm Gonna Miss You,Milli Vanilli
1989-09-23,2,Heaven,Warrant
1989-09-23,3,If I Could Turn Back Time,Cher
1989-09-23,4,18 And Life,Skid Row
1989-09-23,5,Cherish,Madonna
1989-09-30,1,Girl I'm Gonna Miss You,Milli Vanilli
1989-09-30,2,Heaven,Warrant
1989-09-30,3,If I Could Turn Back Time,Cher
1989-09-30,4,Cherish,Madonna
1989-09-30,5,Miss You Much,Janet Jackson
1989-10-07,1,Miss You Much,Janet Jackson
1989-10-07,2,Cherish,Madonna
1989-10-07,3,Girl I'm Gonna Miss You,Milli Vanilli
1989-10-07,4,Heaven,Warrant
1989-10-07,5,If I Could Turn Back Time,Cher
1989-10-14,1,Miss You Much,Janet Jackson
1989-10-14,2,Cherish,Madonna
1989-10-14,3,Girl I'm Gonna Miss You,Milli Vanilli
1989-10-14,4,Love Song,The Cure
1989-10-14,5,Mixed Emotions,The Rolling Stones
1989-10-21,1,Miss You Much,Janet Jackson
1989-10-21,2,Love Song,The Cure
1989-10-21,3,Sowing The Seeds Of Love,Tears For Fears
1989-10-21,4,Listen To Your Heart,Roxette
1989-10-21,5,Mixed Emotions,The Rolling Stones
1989-10-28,1,Miss You Much,Janet Jackson
1989-10-28,2,Sowing The Seeds Of Love,Tears For Fears
1989-10-28,3,Listen To Your Heart,Roxette
1989-10-28,4,Cover Girl,New Kids On The Block
1989-10-28,5,Love In An Elevator,Aerosmith
1989-11-04,1,Listen To Your Heart,Roxette
1989-11-04,2,Cover Girl,New Kids On The Block
1989-11-04,3,Miss You Much,Janet Jackson
1989-11-04,4,Sowing The Seeds Of Love,Tears For Fears
1989-11-04,5,When I See You Smile,Bad English
1989-11-11,1,When I See You Smile,Bad English
1989-11-11,2,Listen To Your Heart,Roxette
1989-11-11,3,Cover Girl,New Kids On The Block
1989-11-11,4,Blame It On The Rain,Milli Vanilli
1989-11-11,5,(It's Just) The Way That You Love Me,Paula Abdul
1989-11-18,1,When I See You Smile,Bad English
1989-11-18,2,Blame It On The Rain,Milli Vanilli
1989-11-18,3,Love Shack,The B-52s
1989-11-18,4,(It's Just) The Way That You Love Me,Paula Abdul
1989-11-18,5,Listen To Your Heart,Roxette
1989-11-25,1,Blame It On The Rain,Milli Vanilli
1989-11-25,2,When I See You Smile,Bad English
1989-11-25,3,Love Shack,The B-52s
1989-11-25,4,(It's Just) The Way That You Love Me,Paula Abdul
1989-11-25,5,We Didn't Start The Fire,Billy Joel
1989-12-02,1,Blame It On The Rain,Milli Vanilli
1989-12-02,2,We Didn't Start The Fire,Billy Joel
1989-12-02,3,(It's Just) The Way That You Love Me,Paula Abdul
1989-12-02,4,Angelia,Richard Marx
1989-12-02,5,Love Shack,The B-52s
1989-12-09,1,We Didn't Start The Fire,Billy Joel
1989-12-09,2,Another Day In Paradise,Phil Collins
1989-12-09,3,Blame It On The Rain,Milli Vanilli
1989-12-09,4,(It's Just) The Way That You Love Me,Paula Abdul
1989-12-09,5,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1989-12-16,1,We Didn't Start The Fire,Billy Joel
1989-12-16,2,Another Day In Paradise,Phil Collins
1989-12-16,3,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1989-12-16,4,Back To Life,Soul II Soul
1989-12-16,5,With Every Beat Of My Heart,Taylor Dayne
1989-12-23,1,Another Day In Paradise,Phil Collins
1989-12-23,2,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1989-12-23,3,We Didn't Start The Fire,Billy Joel
1989-12-23,4,Rhythm Nation,Janet Jackson
1989-12-23,5,With Every Beat Of My Heart,Taylor Dayne
1989-12-30,1,Another Day In Paradise,Phil Collins
1989-12-30,2,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1989-12-30,3,We Didn't Start The Fire,Billy Joel
1989-12-30,4,Rhythm Nation,Janet Jackson
1989-12-30,5,With Every Beat Of My Heart,Taylor Dayne
1990-01-06,1,Another Day In Paradise,Phil Collins
1990-01-06,2,Rhythm Nation,Janet Jackson
1990-01-06,3,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1990-01-06,4,Pump Up The Jam,Technotronic Featuring Felly
1990-01-06,5,With Every Beat Of My Heart,Taylor Dayne
1990-01-13,1,Another Day In Paradise,Phil Collins
1990-01-13,2,Rhythm Nation,Janet Jackson
1990-01-13,3,Pump Up The Jam,Technotronic Featuring Felly
1990-01-13,4,How Am I Supposed To Live Without You,Michael Bolton
1990-01-13,5,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville)
1990-01-20,1,How Am I Supposed To Live Without You,Michael Bolton
1990-01-20,2,Pump Up The Jam,Technotronic Featuring Felly
1990-01-20,3,Another Day In Paradise,Phil Collins
1990-01-20,4,Everything,Jody Watley
1990-01-20,5,Downtown Train,Rod Stewart
1990-01-27,1,How Am I Supposed To Live Without You,Michael Bolton
1990-01-27,2,Pump Up The Jam,Technotronic Featuring Felly
1990-01-27,3,Downtown Train,Rod Stewart
1990-01-27,4,Everything,Jody Watley
1990-01-27,5,Two To Make It Right,Seduction
1990-02-03,1,How Am I Supposed To Live Without You,Michael Bolton
1990-02-03,2,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-02-03,3,Downtown Train,Rod Stewart
1990-02-03,4,Two To Make It Right,Seduction
1990-02-03,5,Janie's Got A Gun,Aerosmith
1990-02-10,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-02-10,2,Two To Make It Right,Seduction
1990-02-10,3,Downtown Train,Rod Stewart
1990-02-10,4,Janie's Got A Gun,Aerosmith
1990-02-10,5,How Am I Supposed To Live Without You,Michael Bolton
1990-02-17,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-02-17,2,Two To Make It Right,Seduction
1990-02-17,3,Escapade,Janet Jackson
1990-02-17,4,Dangerous,Roxette
1990-02-17,5,Janie's Got A Gun,Aerosmith
1990-02-24,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-02-24,2,Escapade,Janet Jackson
1990-02-24,3,Dangerous,Roxette
1990-02-24,4,All Or Nothing,Milli Vanilli
1990-02-24,5,What Kind Of Man Would I Be?,Chicago
1990-03-03,1,Escapade,Janet Jackson
1990-03-03,2,Dangerous,Roxette
1990-03-03,3,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-03-03,4,Roam,The B-52s
1990-03-03,5,All Or Nothing,Milli Vanilli
1990-03-10,1,Escapade,Janet Jackson
1990-03-10,2,Dangerous,Roxette
1990-03-10,3,Roam,The B-52s
1990-03-10,4,Black Velvet,Alannah Myles
1990-03-10,5,Price Of Love,Bad English
1990-03-17,1,Escapade,Janet Jackson
1990-03-17,2,Black Velvet,Alannah Myles
1990-03-17,3,Roam,The B-52s
1990-03-17,4,Love Will Lead You Back,Taylor Dayne
1990-03-17,5,Price Of Love,Bad English
1990-03-24,1,Black Velvet,Alannah Myles
1990-03-24,2,Love Will Lead You Back,Taylor Dayne
1990-03-24,3,Escapade,Janet Jackson
1990-03-24,4,Roam,The B-52s
1990-03-24,5,I Wish It Would Rain Down,Phil Collins
1990-03-31,1,Black Velvet,Alannah Myles
1990-03-31,2,Love Will Lead You Back,Taylor Dayne
1990-03-31,3,I Wish It Would Rain Down,Phil Collins
1990-03-31,4,I'll Be Your Everything,Tommy Page
1990-03-31,5,All Around The World,Lisa Stansfield
1990-04-07,1,Love Will Lead You Back,Taylor Dayne
1990-04-07,2,I'll Be Your Everything,Tommy Page
1990-04-07,3,All Around The World,Lisa Stansfield
1990-04-07,4,I Wish It Would Rain Down,Phil Collins
1990-04-07,5,Black Velvet,Alannah Myles
1990-04-14,1,I'll Be Your Everything,Tommy Page
1990-04-14,2,Don't Wanna Fall In Love,Jane Child
1990-04-14,3,All Around The World,Lisa Stansfield
1990-04-14,4,Nothing Compares 2 U,Sinead O'Connor
1990-04-14,5,Love Will Lead You Back,Taylor Dayne
1990-04-21,1,Nothing Compares 2 U,Sinead O'Connor
1990-04-21,2,Don't Wanna Fall In Love,Jane Child
1990-04-21,3,All Around The World,Lisa Stansfield
1990-04-21,4,I Wanna Be Rich,Calloway
1990-04-21,5,I'll Be Your Everything,Tommy Page
1990-04-28,1,Nothing Compares 2 U,Sinead O'Connor
1990-04-28,2,Don't Wanna Fall In Love,Jane Child
1990-04-28,3,I Wanna Be Rich,Calloway
1990-04-28,4,All Around The World,Lisa Stansfield
1990-04-28,5,How Can We Be Lovers,Michael Bolton
1990-05-05,1,Nothing Compares 2 U,Sinead O'Connor
1990-05-05,2,I Wanna Be Rich,Calloway
1990-05-05,3,How Can We Be Lovers,Michael Bolton
1990-05-05,4,Vogue,Madonna
1990-05-05,5,All I Wanna Do Is Make Love To You,Heart
1990-05-12,1,Nothing Compares 2 U,Sinead O'Connor
1990-05-12,2,Vogue,Madonna
1990-05-12,3,I Wanna Be Rich,Calloway
1990-05-12,4,All I Wanna Do Is Make Love To You,Heart
1990-05-12,5,How Can We Be Lovers,Michael Bolton
1990-05-19,1,Vogue,Madonna
1990-05-19,2,Nothing Compares 2 U,Sinead O'Connor
1990-05-19,3,All I Wanna Do Is Make Love To You,Heart
1990-05-19,4,Hold On,Wilson Phillips
1990-05-19,5,Sending All My Love,Linear
1990-05-26,1,Vogue,Madonna
1990-05-26,2,All I Wanna Do Is Make Love To You,Heart
1990-05-26,3,Nothing Compares 2 U,Sinead O'Connor
1990-05-26,4,Hold On,Wilson Phillips
1990-05-26,5,Alright,Janet Jackson
1990-06-02,1,Vogue,Madonna
1990-06-02,2,All I Wanna Do Is Make Love To You,Heart
1990-06-02,3,Hold On,Wilson Phillips
1990-06-02,4,Alright,Janet Jackson
1990-06-02,5,Poison,Bell Biv DeVoe
1990-06-09,1,Hold On,Wilson Phillips
1990-06-09,2,Vogue,Madonna
1990-06-09,3,Poison,Bell Biv DeVoe
1990-06-09,4,All I Wanna Do Is Make Love To You,Heart
1990-06-09,5,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-06-16,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-06-16,2,Hold On,Wilson Phillips
1990-06-16,3,Poison,Bell Biv DeVoe
1990-06-16,4,Step By Step,New Kids On The Block
1990-06-16,5,Vogue,Madonna
1990-06-23,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-06-23,2,Step By Step,New Kids On The Block
1990-06-23,3,Poison,Bell Biv DeVoe
1990-06-23,4,Hold On,Wilson Phillips
1990-06-23,5,Do You Remember?,Phil Collins
1990-06-30,1,Step By Step,New Kids On The Block
1990-06-30,2,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-06-30,3,Poison,Bell Biv DeVoe
1990-06-30,4,Do You Remember?,Phil Collins
1990-06-30,5,Hold On,Wilson Phillips
1990-07-07,1,Step By Step,New Kids On The Block
1990-07-07,2,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-07-07,3,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-07-07,4,Poison,Bell Biv DeVoe
1990-07-07,5,Hold On,En Vogue
1990-07-14,1,Step By Step,New Kids On The Block
1990-07-14,2,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-07-14,3,Hold On,En Vogue
1990-07-14,4,I'll Be Your Shelter,Taylor Dayne
1990-07-14,5,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol
1990-07-21,1,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-07-21,2,Hold On,En Vogue
1990-07-21,3,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol
1990-07-21,4,Rub You The Right Way,Johnny Gill
1990-07-21,5,Vision Of Love,Mariah Carey
1990-07-28,1,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-07-28,2,Vision Of Love,Mariah Carey
1990-07-28,3,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol
1990-07-28,4,Rub You The Right Way,Johnny Gill
1990-07-28,5,Hold On,En Vogue
1990-08-04,1,Vision Of Love,Mariah Carey
1990-08-04,2,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol
1990-08-04,3,Rub You The Right Way,Johnny Gill
1990-08-04,4,The Power,Snap!
1990-08-04,5,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-08-11,1,Vision Of Love,Mariah Carey
1990-08-11,2,The Power,Snap!
1990-08-11,3,Rub You The Right Way,Johnny Gill
1990-08-11,4,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol
1990-08-11,5,If Wishes Came True,Sweet Sensation
1990-08-18,1,Vision Of Love,Mariah Carey
1990-08-18,2,Come Back To Me,Janet Jackson
1990-08-18,3,If Wishes Came True,Sweet Sensation
1990-08-18,4,The Power,Snap!
1990-08-18,5,Unskinny Bop,Poison
1990-08-25,1,Vision Of Love,Mariah Carey
1990-08-25,2,Come Back To Me,Janet Jackson
1990-08-25,3,If Wishes Came True,Sweet Sensation
1990-08-25,4,Unskinny Bop,Poison
1990-08-25,5,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-01,1,If Wishes Came True,Sweet Sensation
1990-09-01,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-01,3,Unskinny Bop,Poison
1990-09-01,4,Release Me,Wilson Phillips
1990-09-01,5,Do Me!,Bell Biv DeVoe
1990-09-08,1,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-08,2,Release Me,Wilson Phillips
1990-09-08,3,Do Me!,Bell Biv DeVoe
1990-09-08,4,Unskinny Bop,Poison
1990-09-08,5,If Wishes Came True,Sweet Sensation
1990-09-15,1,Release Me,Wilson Phillips
1990-09-15,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-15,3,Do Me!,Bell Biv DeVoe
1990-09-15,4,Have You Seen Her,M.C. Hammer
1990-09-15,5,Unskinny Bop,Poison
1990-09-22,1,Release Me,Wilson Phillips
1990-09-22,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-22,3,Do Me!,Bell Biv DeVoe
1990-09-22,4,(Can't Live Without Your) Love And Affection,Nelson
1990-09-22,5,Close To You,Maxi Priest
1990-09-29,1,(Can't Live Without Your) Love And Affection,Nelson
1990-09-29,2,Close To You,Maxi Priest
1990-09-29,3,Release Me,Wilson Phillips
1990-09-29,4,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-29,5,Praying For Time,George Michael
1990-10-06,1,Close To You,Maxi Priest
1990-10-06,2,Praying For Time,George Michael
1990-10-06,3,(Can't Live Without Your) Love And Affection,Nelson
1990-10-06,4,Something Happened On The Way To Heaven,Phil Collins
1990-10-06,5,I Don't Have The Heart,James Ingram
1990-10-13,1,Praying For Time,George Michael
1990-10-13,2,Close To You,Maxi Priest
1990-10-13,3,I Don't Have The Heart,James Ingram
1990-10-13,4,Ice Ice Baby,Vanilla Ice
1990-10-13,5,Black Cat,Janet Jackson
1990-10-20,1,I Don't Have The Heart,James Ingram
1990-10-20,2,Black Cat,Janet Jackson
1990-10-20,3,Praying For Time,George Michael
1990-10-20,4,Ice Ice Baby,Vanilla Ice
1990-10-20,5,Close To You,Maxi Priest
1990-10-27,1,Black Cat,Janet Jackson
1990-10-27,2,I Don't Have The Heart,James Ingram
1990-10-27,3,Ice Ice Baby,Vanilla Ice
1990-10-27,4,Giving You The Benefit,Pebbles
1990-10-27,5,Love Takes Time,Mariah Carey
1990-11-03,1,Ice Ice Baby,Vanilla Ice
1990-11-03,2,Black Cat,Janet Jackson
1990-11-03,3,Love Takes Time,Mariah Carey
1990-11-03,4,Giving You The Benefit,Pebbles
1990-11-03,5,I Don't Have The Heart,James Ingram
1990-11-10,1,Love Takes Time,Mariah Carey
1990-11-10,2,Pray,M.C. Hammer
1990-11-10,3,Ice Ice Baby,Vanilla Ice
1990-11-10,4,Giving You The Benefit,Pebbles
1990-11-10,5,I Don't Have The Heart,James Ingram
1990-11-17,1,Love Takes Time,Mariah Carey
1990-11-17,2,Pray,M.C. Hammer
1990-11-17,3,More Than Words Can Say,Alias
1990-11-17,4,Groove Is In The Heart,Deee-Lite
1990-11-17,5,I'm Your Baby Tonight,Whitney Houston
1990-11-24,1,Love Takes Time,Mariah Carey
1990-11-24,2,More Than Words Can Say,Alias
1990-11-24,3,I'm Your Baby Tonight,Whitney Houston
1990-11-24,4,Groove Is In The Heart,Deee-Lite
1990-11-24,5,Because I Love You (The Postman Song),Stevie B
1990-12-01,1,I'm Your Baby Tonight,Whitney Houston
1990-12-01,2,Love Takes Time,Mariah Carey
1990-12-01,3,Because I Love You (The Postman Song),Stevie B
1990-12-01,4,Groove Is In The Heart,Deee-Lite
1990-12-01,5,From A Distance,Bette Midler
1990-12-08,1,Because I Love You (The Postman Song),Stevie B
1990-12-08,2,I'm Your Baby Tonight,Whitney Houston
1990-12-08,3,From A Distance,Bette Midler
1990-12-08,4,Something To Believe In,Poison
1990-12-08,5,Love Takes Time,Mariah Carey
1990-12-15,1,Because I Love You (The Postman Song),Stevie B
1990-12-15,2,From A Distance,Bette Midler
1990-12-15,3,I'm Your Baby Tonight,Whitney Houston
1990-12-15,4,Justify My Love,Madonna
1990-12-15,5,Impulsive,Wilson Phillips
1990-12-22,1,Because I Love You (The Postman Song),Stevie B
1990-12-22,2,Justify My Love,Madonna
1990-12-22,3,From A Distance,Bette Midler
1990-12-22,4,Impulsive,Wilson Phillips
1990-12-22,5,Tom's Diner,DNA Featuring Suzanne Vega
1990-12-29,1,Because I Love You (The Postman Song),Stevie B
1990-12-29,2,Justify My Love,Madonna
1990-12-29,3,From A Distance,Bette Midler
1990-12-29,4,Impulsive,Wilson Phillips
1990-12-29,5,Tom's Diner,DNA Featuring Suzanne Vega
1991-01-05,1,Justify My Love,Madonna
1991-01-05,2,Because I Love You (The Postman Song),Stevie B
1991-01-05,3,From A Distance,Bette Midler
1991-01-05,4,High Enough,Damn Yankees
1991-01-05,5,Tom's Diner,DNA Featuring Suzanne Vega
1991-01-12,1,Justify My Love,Madonna
1991-01-12,2,Because I Love You (The Postman Song),Stevie B
1991-01-12,3,High Enough,Damn Yankees
1991-01-12,4,Love Will Never Do (Without You),Janet Jackson
1991-01-12,5,From A Distance,Bette Midler
1991-01-19,1,Love Will Never Do (Without You),Janet Jackson
1991-01-19,2,Justify My Love,Madonna
1991-01-19,3,High Enough,Damn Yankees
1991-01-19,4,The First Time,Surface
1991-01-19,5,Sensitivity,Ralph Tresvant
1991-01-26,1,The First Time,Surface
1991-01-26,2,Love Will Never Do (Without You),Janet Jackson
1991-01-26,3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
1991-01-26,4,Sensitivity,Ralph Tresvant
1991-01-26,5,High Enough,Damn Yankees
1991-02-02,1,The First Time,Surface
1991-02-02,2,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
1991-02-02,3,Love Will Never Do (Without You),Janet Jackson
